id,question,doc_ids
1,what is the RBC count of Yash patel,CBC-absolute-count-test-report-format-example-sample-template-Drlogy-lab-report.pdf
2,"what is the Results at the 26-Week Primary Endpoint of Trulicity Compared to Insulin Glargine, Both in Combination with Insulin Lisproa in Patients with Moderate or Severe CKD",trulicity-ca-pm.pdf
3,Please provide the events which took place on the first Monday of the month of April 1625,1. The Three Musketeers Author Alexandre Dumas.docx
4,who threatened george with death ? In which chapter it was mentioned ?,10. Treasure Island Author Robert Louis Stevenson.docx
5,"was mr hungerton , the most tactless person ever ?",16. The Lost World Author Arthur Conan Doyle.docx
6,what are CBC results of yash patel ?,CBC-absolute-count-test-report-format-example-sample-template-Drlogy-lab-report.pdf
7,provide the dengue fever test result and the name of doctor ?,DENGUE-FEVER-test-report-format-example-sample-template-Drlogy-lab-report.pdf
8,what are the latest annual report results along with shareholder equity ?,ELI LILLY  2023 Annual Report.pdf
9,what sort of target should be submitted to HR in start of year ?,FY23-24 EMOCION Incentive Policy.pdf
10,"which  Policy intends to uphold the Company�s values of integrity, honesty, transparency and fair dealing",OnMobile Anti-Bribery policy.pdf
11,in conduct of its business activities.,OnMobile Anti-Bribery policy.pdf
12,please provide detail on payment practices for onmobile,OnMobile Code of Business Conduct and Ethics.pdf
13,The temperature of a gas consisting of rigid diatomic molecules is ?,Problems in Gener@l Physics by I.E. Ir0dov (jeeneetpdf.in).pdf
14,provide info about Glucagon-like peptide-1 receptor,s41392-024-01931-z.pdf
15,I have not received my securities in Pubic / �Other Issue�. How can I claim it?,sebi.pdf
16,what sort of overdoses has been reported in clinical studies,trulicity-ca-pm.pdf
17,who is captain couragious ?,12. Captains Courageous Author Rudyard Kipling.docx
18,who is mr stewart and what did he wanted ?,17. Kidnapped Author Robert Louis Stevenson.docx
19,who refused to pay the ransom ? What did Captain Levasseur  do ?,20. Captain Blood Author Rafael Sabatini.docx
20,what is the priciple behind giving support to new joiner ?,Buddy Guidelines.pdf
21,what is the name of medical lab technician who provided the report on CMP results,CMP-test-report-format-example-sample-template-Drlogy-lab-report.pdf
22,is coagilation profile test report for yash wa fine ?,coagulation-profile-test-report-format-example-sample-template-Drlogy-lab-report (1).pdf
23,is driving revenue achievement an organizatoin goal ?,FY23-24 Sales Incentive Plan for Revenue Generating Teams.pdf
24,what should be the range of hemoglobin as per drlogy report ?,HEMOGLOBIN-HB-test-report-format-example-sample-template-Drlogy-lab-report.pdf
25,at the time of selection what preferene to be given for cycles rating ?,Internal Talent Search Policy.pdf
26,what are KDIGO guidelines,KFT-test-report-format-example-sample-template-Drlogy-lab-report.pdf
